id,state,population,density,sexratio
UP,Uttar Pradesh,199281477,828,908
MH,Maharashtra,112372972,365,946
BR,Bihar,103804637,1102,916
WB,West Bengal,91347736,1029,947
MP,Madhya Pradesh,72597565,236,930
TN,Tamil Nadu,72138958,555,995
RA,Rajasthan,68621012,201,926
KA,Karnataka,61130704,319,968
GJ,Gujarat,60383628,308,918
AP,Andhra Pradesh,49386799,308,993
OD,Odisha,41947358,269,978
KL,Kerala,33387677,859,1084
JH,Jharkhand,32966238,414,947
AS,Assam,31169272,397,954
PN,Punjab,27704236,550,893
CG,Chhattisgarh,25540196,189,991
HA,Haryana,25353081,573,877
JK,Jammu and Kashmir,12548926,124,883
UK,Uttarakhand,10116752,189,963
HP,Himachal Pradesh,6864602,123,974
TP,Tripura,3671032,350,961
MG,Meghalaya,2964007,132,986
MN,Manipur,2721756,122,987
NA,Nagaland,1980602,119,931
GA,Goa,1457723,394,968
AN,Arunachal Pradesh,1382611,17,920
MZ,Mizoram,1091014,52,975
SK,Sikkim,607688,86,889
DL,Delhi,16753235,11297,866
PU,Pondicherry,1244464,2598,1038
CH,CHANDIGARH,1054686,9252,818
ANI,ANDAMAN AND NICOBAR ISLANDS,379944,46,878
DNH,DADRA AND NAGAR HAVELI,342853,698,775
DMN,DAMAN AND DIU,242911,2169,618
LKS,LAKSHADWEEP,64429,2013,946
